pn,pe,pd,vn,ve,vd,an,ae,ad,roll,pitch,yaw,q0,q1,q2,q3,lat,lng,alt,sat,ax,ay,az,gx,gy,gz,mx,my,mz,baro_temp,baro_press,baro_alt,batt_voltage,batt_percent,launch_lat,launch_lng,launch_alt,system_status,system_time,rssi,snr,connection_status
1.117588043,-1.09119916,2.024532795,1.835806131,0.043274861,-0.225104436,0.222304076,0.002922708,0.035056949,3.119867802,0.106883004,2.935665369,0.054235965,0.102107726,0.993462861,0.005304283,39.39009094,-8.289386749,218014,9,-0.096501999,0.046726,-1.025349021,4.016250134,-0.953750014,0.349999994,-0.669943392,0.103380442,1.274377704,28.04999924,100032,2.635323763,4037,82,39.39009476,-8.289378166,220749,2,929329,-111,2.75,TRUE
1.106027126,-1.079037309,2.033735514,1.794566154,0.03842961,-0.180731505,0.220062852,-0.008895983,-0.000938475,3.120934963,0.106404617,2.935511589,0.053942688,0.102227062,0.993502438,0.0047954,39.39009094,-8.289385796,218003,9,-0.097904995,0.055204999,-0.989724994,7.201250076,-2.79124999,0.560000002,-0.680804312,0.10413301,1.282451034,28,100046,1.407158256,4042,83,39.39009476,-8.289378166,220749,2,929630,-109,2.75,TRUE
1.109960794,-1.070794344,2.020104408,1.803668499,0.032303311,-0.217317402,0.210636988,-0.006919096,-0.029830396,3.119838953,0.107070379,2.935385227,0.054331105,0.102245368,0.993445754,0.005301427,39.39009094,-8.289385796,218023,9,-0.106261998,0.055326998,-1.055361032,1.627500057,1.277500033,0.65625,-0.681384623,0.103260912,1.264189482,28.04000092,100028,2.98780179,4042,83,39.39009476,-8.289378166,220749,2,929931,-110,2.25,TRUE
1.10411799,-1.067025542,2.014145136,1.826544285,0.024861597,-0.225985676,0.233161628,-0.021780318,-0.010170698,3.120612621,0.108007029,2.935402632,0.054756235,0.102251969,0.993429542,0.004869158,39.39009094,-8.289385796,218055,9,-0.122671001,0.024643999,-1.009428024,2.388750076,-0.280000001,0.699999988,-0.683388948,0.103024349,1.266866565,28.05999947,100038,2.109360456,4040,82,39.39009476,-8.289378166,220749,2,930231,-110,2.75,TRUE
1.105496764,-1.057617545,2.011866331,1.806593657,0.025340684,-0.228241101,0.224915475,-0.014446162,-0.014558494,3.120065212,0.106776811,2.935449839,0.054173708,0.102221116,0.99345541,0.005205879,39.39009094,-8.289386749,218067,9,-0.106201001,0.055143997,-1.013209939,4.322500229,-0.840000033,0.157499999,-0.689387143,0.103847325,1.282109857,28.04000092,100046,1.407158256,4037,82,39.39009476,-8.289378166,220749,2,930532,-111,2.5,TRUE
1.10863173,-1.046501637,2.017081022,1.828696728,0.028865578,-0.21480231,0.239132673,-0.021775359,-0.00358963,3.120468855,0.106708102,2.935200453,0.054119319,0.10235817,0.993450522,0.005002166,39.39009094,-8.289385796,218083,9,-0.130418003,0.020862,-1.034132957,4.016250134,-1.067499995,0.376249999,-0.687387586,0.103584886,1.270231366,28.05999947,100049,1.142799735,4042,83,39.39009476,-8.289378166,220749,2,930834,-107,2.75,TRUE
1.111237288,-1.04306221,2.015801907,1.81081593,0.021148644,-0.231577843,0.217745125,-0.01676373,-0.035877287,3.121085644,0.106823772,2.935588837,0.054142676,0.1021908,0.993500233,0.004701029,39.39009094,-8.289386749,218098,9,-0.091560997,0.052581999,-0.980331004,4.173749924,-0.883750021,0.875,-0.682240605,0.103467584,1.275765181,27.95999908,100025,3.252160311,4037,82,39.39009476,-8.289378166,220749,2,931134,-112,2.5,TRUE
1.122186065,-1.043909669,2.011015415,1.791483402,0.014708908,-0.202937946,0.220208704,-0.006368949,0.051984668,3.120586872,0.105939247,2.935685635,0.053729054,0.102134503,0.993521571,0.004997084,39.39009094,-8.289386749,218099,9,-0.092781,0.050141998,-0.966057003,4.033750057,-1.049999952,0.778750002,-0.690249562,0.103376776,1.266047955,28.03000069,100035,2.370965242,4039,82,39.39009476,-8.289378166,220749,2,931435,-109,1.75,TRUE
1.129706979,-1.040544391,2.001987934,1.820694327,0.014492728,-0.201015025,0.199807167,-0.010060207,-0.034481227,3.119479895,0.10625428,2.935907602,0.053941369,0.101991951,0.993522286,0.005536945,39.39009094,-8.289385796,218095,9,-0.086619996,0.063866995,-0.998691976,4.611249924,-0.813750029,0.665000021,-0.685952961,0.104072094,1.280180812,28.05999947,100046,1.407158256,4042,83,39.39009476,-8.289378166,220749,2,931736,-108,1.75,TRUE
1.133351207,-1.029178977,2.01514411,1.839308858,0.02701658,-0.206345573,0.209861234,0.0128746,-0.046645641,3.119292498,0.106904112,2.935510397,0.054275166,0.102175839,0.993474603,0.005585456,39.39009094,-8.289385796,218082,9,-0.101259999,0.032329999,-0.999240994,0.524999976,1.3125,0.551249981,-0.679384708,0.103034101,1.271257997,28.03000069,100037,2.197479963,4040,82,39.39009476,-8.289378166,220749,2,932037,-108,3,TRUE
