pn,pe,pd,vn,ve,vd,an,ae,ad,roll,pitch,yaw,q0,q1,q2,q3,lat,lng,alt,sat,ax,ay,az,h_ax,h_ay,h_az,gx,gy,gz,mx,my,mz,baro_temp,baro_press,baro_alt,batt_voltage,batt_percent,launch_lat,launch_lng,launch_alt,system_status,system_time,rssi,snr,connectionstatus
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-7.99993896484375,-7.99993896484375,7.99993896484375,20.0,0.0,44330.765625,0,65185,0.0,0.0,0,2089024,54554,-164,0.0,True
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-7.99993896484375,-7.99993896484375,7.99993896484375,20.0,0.0,44330.765625,0,65185,0.0,0.0,0,2089024,54854,-164,0.0,True
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-7.99993896484375,-7.99993896484375,7.99993896484375,20.0,0.0,44330.765625,0,65185,0.0,0.0,0,2089024,55156,-164,0.0,True
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-7.99993896484375,-7.99993896484375,7.99993896484375,20.0,0.0,44330.765625,0,65185,0.0,0.0,0,2089024,55455,-164,0.0,True
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-7.99993896484375,-7.99993896484375,7.99993896484375,20.0,0.0,44330.765625,0,65185,0.0,0.0,0,2089024,55757,-164,0.0,True
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-7.99993896484375,-7.99993896484375,7.99993896484375,20.0,0.0,44330.765625,0,65185,0.0,0.0,0,2089024,56060,-164,0.0,True
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-7.99993896484375,-7.99993896484375,7.99993896484375,20.0,0.0,44330.765625,0,65185,0.0,0.0,0,2089024,56363,-164,0.0,True
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-7.99993896484375,-7.99993896484375,7.99993896484375,20.0,0.0,44330.765625,0,65185,0.0,0.0,0,2089024,56661,-164,0.0,True
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-7.99993896484375,-7.99993896484375,7.99993896484375,20.0,0.0,44330.765625,0,65185,0.0,0.0,0,2089024,56961,-164,0.0,True
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-7.99993896484375,-7.99993896484375,7.99993896484375,20.0,0.0,44330.765625,0,65185,0.0,0.0,0,2089024,57262,-164,0.0,True
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-7.99993896484375,-7.99993896484375,7.99993896484375,20.0,0.0,44330.765625,0,65185,0.0,0.0,0,2089024,57562,-164,0.0,True
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-7.99993896484375,-7.99993896484375,7.99993896484375,20.0,0.0,44330.765625,0,65185,0.0,0.0,0,2089024,57863,-164,0.0,True
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-7.99993896484375,-7.99993896484375,7.99993896484375,20.0,0.0,44330.765625,0,65185,0.0,0.0,0,2089024,58162,-164,0.0,True
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-7.99993896484375,-7.99993896484375,7.99993896484375,20.0,0.0,44330.765625,0,65185,0.0,0.0,0,2089024,58463,-164,0.0,True
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-7.99993896484375,-7.99993896484375,7.99993896484375,20.0,0.0,44330.765625,0,65185,0.0,0.0,0,2089024,58766,-164,0.0,True
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-7.99993896484375,-7.99993896484375,7.99993896484375,20.0,0.0,44330.765625,0,65185,0.0,0.0,0,2089024,59078,-164,0.0,True
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-7.99993896484375,-7.99993896484375,7.99993896484375,20.0,0.0,44330.765625,0,65185,0.0,0.0,0,2089024,59375,-164,0.0,True
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-7.99993896484375,-7.99993896484375,7.99993896484375,20.0,0.0,44330.765625,0,65185,0.0,0.0,0,2089024,59678,-164,0.0,True
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-7.99993896484375,-7.99993896484375,7.99993896484375,20.0,0.0,44330.765625,0,65185,0.0,0.0,0,2089024,59979,-164,0.0,True
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-7.99993896484375,-7.99993896484375,7.99993896484375,20.0,0.0,44330.765625,0,65185,0.0,0.0,0,2089024,60279,-164,0.0,True
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-7.99993896484375,-7.99993896484375,7.99993896484375,20.0,0.0,44330.765625,0,65185,0.0,0.0,0,2089024,60578,-164,0.0,True
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-7.99993896484375,-7.99993896484375,7.99993896484375,20.0,0.0,44330.765625,0,65185,0.0,0.0,0,2089024,60880,-164,0.0,True
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-7.99993896484375,-7.99993896484375,7.99993896484375,20.0,0.0,44330.765625,0,65185,0.0,0.0,0,2089024,61179,-164,0.0,True
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-7.99993896484375,-7.99993896484375,7.99993896484375,20.0,0.0,44330.765625,0,65185,0.0,0.0,0,2089024,61482,-164,0.0,True
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-7.99993896484375,-7.99993896484375,7.99993896484375,20.0,0.0,44330.765625,0,65185,0.0,0.0,0,2089024,61783,-164,0.0,True
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-7.99993896484375,-7.99993896484375,7.99993896484375,20.0,0.0,44330.765625,0,65185,0.0,0.0,0,2089024,62083,-164,0.0,True
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-7.99993896484375,-7.99993896484375,7.99993896484375,20.0,0.0,44330.765625,0,65185,0.0,0.0,0,2089024,62382,-164,0.0,True
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-7.99993896484375,-7.99993896484375,7.99993896484375,20.0,0.0,44330.765625,0,65185,0.0,0.0,0,2089024,62684,-164,0.0,True
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-7.99993896484375,-7.99993896484375,7.99993896484375,20.0,0.0,44330.765625,0,65185,0.0,0.0,0,2089024,62986,-164,0.0,True
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-7.99993896484375,-7.99993896484375,7.99993896484375,20.0,0.0,44330.765625,0,65185,0.0,0.0,0,2089024,63288,-164,0.0,True
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-7.99993896484375,-7.99993896484375,7.99993896484375,20.0,0.0,44330.765625,0,65185,0.0,0.0,0,2089024,63588,-164,0.0,True
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-7.99993896484375,-7.99993896484375,7.99993896484375,20.0,0.0,44330.765625,0,65185,0.0,0.0,0,2089024,63889,-164,0.0,True
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-7.99993896484375,-7.99993896484375,7.99993896484375,20.0,0.0,44330.765625,0,65185,0.0,0.0,0,2089024,64189,-164,0.0,True
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-7.99993896484375,-7.99993896484375,7.99993896484375,20.0,0.0,44330.765625,0,65185,0.0,0.0,0,2089024,64491,-164,0.0,True
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-7.99993896484375,-7.99993896484375,7.99993896484375,20.0,0.0,44330.765625,0,65185,0.0,0.0,0,2089024,64793,-164,0.0,True
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-7.99993896484375,-7.99993896484375,7.99993896484375,20.0,0.0,44330.765625,0,65185,0.0,0.0,0,2089024,65094,-164,0.0,True
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-7.99993896484375,-7.99993896484375,7.99993896484375,20.0,0.0,44330.765625,0,65185,0.0,0.0,0,2089024,65394,-164,0.0,True
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-7.99993896484375,-7.99993896484375,7.99993896484375,20.0,0.0,44330.765625,0,65185,0.0,0.0,0,2089024,65694,-164,0.0,True
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-7.99993896484375,-7.99993896484375,7.99993896484375,20.0,0.0,44330.765625,0,65185,0.0,0.0,0,2089024,65995,-164,0.0,True
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-7.99993896484375,-7.99993896484375,7.99993896484375,20.0,0.0,44330.765625,0,65185,0.0,0.0,0,2089024,66295,-164,0.0,True
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-7.99993896484375,-7.99993896484375,7.99993896484375,20.0,0.0,44330.765625,0,65185,0.0,0.0,0,2089024,66596,-164,0.0,True
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-7.99993896484375,-7.99993896484375,7.99993896484375,20.0,0.0,44330.765625,0,65185,0.0,0.0,0,2089024,66895,-164,0.0,True
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-7.99993896484375,-7.99993896484375,7.99993896484375,20.0,0.0,44330.765625,0,65185,0.0,0.0,0,2089024,67198,-164,0.0,True
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-7.99993896484375,-7.99993896484375,7.99993896484375,20.0,0.0,44330.765625,0,65185,0.0,0.0,0,2089024,67497,-164,0.0,True
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-7.99993896484375,-7.99993896484375,7.99993896484375,20.0,0.0,44330.765625,0,65185,0.0,0.0,0,2089024,67800,-164,0.0,True
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-7.99993896484375,-7.99993896484375,7.99993896484375,20.0,0.0,44330.765625,0,65185,0.0,0.0,0,2089024,68101,-164,0.0,True
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-7.99993896484375,-7.99993896484375,7.99993896484375,20.0,0.0,44330.765625,0,65185,0.0,0.0,0,2089024,68401,-164,0.0,True
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-7.99993896484375,-7.99993896484375,7.99993896484375,20.0,0.0,44330.765625,0,65185,0.0,0.0,0,2089024,68702,-164,0.0,True
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-7.99993896484375,-7.99993896484375,7.99993896484375,20.0,0.0,44330.765625,0,65185,0.0,0.0,0,2089024,69002,-164,0.0,True
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-7.99993896484375,-7.99993896484375,7.99993896484375,20.0,0.0,44330.765625,0,65185,0.0,0.0,0,2089024,69304,-164,0.0,True
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-7.99993896484375,-7.99993896484375,7.99993896484375,20.0,0.0,44330.765625,0,65185,0.0,0.0,0,2089024,69606,-164,0.0,True
